r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	g0	g1	g2	g3	g4	g5	g6	g7	g8	g9	b0	b1	b2	b3	b4	b5	b6	b7	b8	b9	a0	a1	a2	a3	a4	a5	a6	a7	a8	a9
-1.1018586	0.008534229	-1.0725577	2.0590239	2.1611	-1.2583358	-1.9741552	0.40077066	-0.40017247	1.9108355	-2.1512394	-0.8322077	-0.91416633	-1.9606842	-1.3505352	-2.9851027	-2.9220066	-2.975467	-2.4966383	-1.304529	1.7859721	2.0966012	-0.87437576	0.62412477	2.0398335	1.1046511	-1.3131804	-0.43687296	1.7676516	-0.33205408	1	1	1	1	1	1	1	1	1	1
-1.1018584	0.008544374	-1.0725312	2.0589736	2.161096	-1.2582968	-1.9741769	0.40074572	-0.40014184	1.9108208	-2.1594214	-0.8403451	-0.9223045	-1.9688681	-1.358695	-2.993291	-2.9301922	-2.9836528	-2.504819	-1.3126879	1.7859931	2.09663	-0.8743618	0.6241282	2.039841	1.1046246	-1.3131665	-0.4368906	1.7676712	-0.33205608	1	1	1	1	1	1	1	1	1	1
-1.1018556	0.0085668415	-1.0724722	2.058876	2.1610916	-1.2582182	-1.9742191	0.40069795	-0.40008542	1.9108031	-2.1757803	-0.8566152	-0.9385856	-1.9852352	-1.3750148	-3.0096676	-2.9465606	-3.0000324	-2.5211775	-1.3290017	1.786029	2.0966904	-0.8743355	0.6241309	2.0398443	1.1045702	-1.3131413	-0.4369191	1.7677044	-0.3320595	1	1	1	1	1	1	1	1	1	1
-1.101849	0.008590798	-1.072408	2.05878	2.1610897	-1.2581419	-1.9742622	0.4006547	-0.400035	1.9107966	-2.192134	-0.8728843	-0.95487356	-2.0016005	-1.3913343	-3.0260458	-2.9629245	-3.0164173	-2.5375345	-1.3453116	1.7860588	2.0967546	-0.87431276	0.6241282	2.0398386	1.1045154	-1.3131192	-0.43694025	1.7677319	-0.3320629	1	1	1	1	1	1	1	1	1	1
-1.1018381	0.008616031	-1.0723419	2.0586827	2.161091	-1.2580706	-1.9743063	0.4006172	-0.39999092	1.9107995	-2.2084854	-0.88915735	-0.971167	-2.0179617	-1.4076507	-3.0424256	-2.9792848	-3.032803	-2.553894	-1.3616205	1.7860832	2.0968232	-0.87429434	0.62412	2.0398285	1.1044632	-1.3130995	-0.43695483	1.7677542	-0.33206683	1	1	1	1	1	1	1	1	1	1
-1.1018243	0.008641992	-1.0722779	2.0585828	2.1610968	-1.2580041	-1.9743512	0.4005852	-0.39995322	1.9108074	-2.2248383	-0.90543747	-0.987464	-2.034315	-1.4239639	-3.0588093	-2.9956443	-3.049187	-2.5702596	-1.3779365	1.7861048	2.0968952	-0.8742801	0.62410754	2.0398192	1.1044147	-1.3130811	-0.43696487	1.7677718	-0.3320725	1	1	1	1	1	1	1	1	1	1
-1.101809	0.008667668	-1.0722195	2.0584795	2.1611066	-1.2579397	-1.9743971	0.4005575	-0.39992115	1.9108157	-2.2411942	-0.921724	-1.0037633	-2.0506606	-1.4402777	-3.0751975	-3.0120072	-3.065569	-2.5866334	-1.3942645	1.7861271	2.096967	-0.87426895	0.6240931	2.0398138	1.1043694	-1.3130629	-0.4369729	1.7677879	-0.33208105	1	1	1	1	1	1	1	1	1	1
-1.1017952	0.008691619	-1.0721686	2.058373	2.1611187	-1.2578747	-1.9744442	0.4005329	-0.3998932	1.9108219	-2.2575529	-0.9380153	-1.0200652	-2.0670018	-1.456597	-3.0915892	-3.0283747	-3.081952	-2.6030126	-1.4106014	1.7861537	2.0970352	-0.8742578	0.62407905	2.039812	1.1043259	-1.3130442	-0.43698135	1.7678064	-0.33209294	1	1	1	1	1	1	1	1	1	1
-1.1017861	0.00871242	-1.0721247	2.0582638	2.1611307	-1.2578068	-1.9744917	0.40051037	-0.39986783	1.9108261	-2.273913	-0.95431006	-1.036368	-2.0833454	-1.472925	-3.107983	-3.044743	-3.098339	-2.6193907	-1.4269383	1.7861866	2.097097	-0.87424403	0.62406677	2.039813	1.1042833	-1.3130238	-0.4369924	1.767829	-0.33210766	1	1	1	1	1	1	1	1	1	1
-1.101784	0.008728649	-1.0720851	2.058152	2.161139	-1.2577358	-1.9745371	0.4004894	-0.39984375	1.9108303	-2.290276	-0.9706045	-1.0526685	-2.0996993	-1.48926	-3.124375	-3.061109	-3.1147306	-2.6357632	-1.4432682	1.7862252	2.0971506	-0.87422675	0.62405497	2.039814	1.1042423	-1.3130015	-0.43700743	1.767855	-0.33212426	1	1	1	1	1	1	1	1	1	1
-1.1017904	0.008739458	-1.0720463	2.058038	2.1611404	-1.2576627	-1.9745779	0.40047002	-0.39982045	1.9108367	-2.3066413	-0.98689604	-1.0689658	-2.1160657	-1.5055976	-3.1407626	-3.0774734	-3.1311252	-2.6521275	-1.4595888	1.7862662	2.0971959	-0.8742067	0.6240411	2.0398116	1.1042033	-1.3129786	-0.43702692	1.7678832	-0.33214155	1	1	1	1	1	1	1	1	1	1
-1.1018057	0.008745855	-1.0720053	2.057923	2.1611345	-1.2575889	-1.9746131	0.40045273	-0.39979842	1.9108473	-2.3230047	-1.003185	-1.0852618	-2.1324396	-1.5219339	-3.1571453	-3.0938406	-3.1475213	-2.6684852	-1.4759028	1.7863051	2.0972347	-0.87418604	0.6240225	2.039805	1.1041665	-1.3129566	-0.4370507	1.7679112	-0.3321582	1	1	1	1	1	1	1	1	1	1
-1.1018288	0.008750504	-1.0719625	2.0578084	2.1611228	-1.2575153	-1.974643	0.40043783	-0.39977795	1.9108629	-2.3393629	-1.0194746	-1.101558	-2.1488154	-1.5382679	-3.173525	-3.1102142	-3.163916	-2.6848412	-1.4922167	1.7863387	2.097271	-0.8741677	0.62399834	2.0397952	1.1041309	-1.312937	-0.43707818	1.7679371	-0.3321729	1	1	1	1	1	1	1	1	1	1
-1.1018581	0.008756423	-1.0719193	2.057695	2.1611083	-1.2574413	-1.9746689	0.4004253	-0.39975804	1.9108847	-2.3557158	-1.0357687	-1.1178552	-2.165191	-1.5546019	-3.189904	-3.1265938	-3.1803062	-2.7012002	-1.5085349	1.7863672	2.0973089	-0.8741537	0.62396955	2.0397847	1.104095	-1.3129206	-0.43710822	1.7679592	-0.33218345	1	1	1	1	1	1	1	1	1	1
-1.1018915	0.008765356	-1.0718771	2.0575857	2.1610937	-1.2573647	-1.9746946	0.40041524	-0.3997365	1.9109144	-2.3720691	-1.0520668	-1.1341519	-2.181566	-1.5709383	-3.2062817	-3.142978	-3.1966856	-2.7175648	-1.524857	1.786392	2.0973501	-0.87414414	0.623939	2.0397756	1.1040577	-1.3129057	-0.43713942	1.7679782	-0.33218768	1	1	1	1	1	1	1	1	1	1
-1.1019276	0.0087771155	-1.0718366	2.0574827	2.1610804	-1.257284	-1.9747243	0.40040836	-0.3997109	1.910953	-2.3884275	-1.0683646	-1.1504452	-2.1979399	-1.5872759	-3.222657	-3.1593647	-3.2130537	-2.7339342	-1.5411795	1.7864136	2.0973954	-0.8741371	0.62390965	2.0397687	1.1040187	-1.3128905	-0.43717086	1.7679967	-0.33218536	1	1	1	1	1	1	1	1	1	1
-1.1019647	0.008788588	-1.0717981	2.057387	2.1610687	-1.2571983	-1.9747607	0.40040556	-0.39968	1.9110001	-2.404792	-1.0846573	-1.1667343	-2.2143118	-1.6036156	-3.2390292	-3.1757526	-3.229417	-2.7503066	-1.5575007	1.7864313	2.0974445	-0.8741308	0.6238831	2.039763	1.1039789	-1.3128748	-0.4372025	1.7680186	-0.33217773	1	1	1	1	1	1	1	1	1	1
-1.1020012	0.008796029	-1.0717621	2.0572987	2.1610575	-1.257108	-1.9748039	0.40040788	-0.39964336	1.9110544	-2.4211612	-1.1009464	-1.1830206	-2.2306812	-1.6199602	-3.2553992	-3.192141	-3.2457848	-2.7666838	-1.5738261	1.7864454	2.0974956	-0.87412435	0.62386006	2.039757	1.1039405	-1.312859	-0.43723494	1.7680459	-0.3321657	1	1	1	1	1	1	1	1	1	1
-1.1020355	0.008797872	-1.071729	2.0572157	2.1610456	-1.2570146	-1.9748522	0.4004163	-0.39960158	1.9111137	-2.4375315	-1.1172382	-1.1993065	-2.2470477	-1.6363102	-3.2717688	-3.2085278	-3.2621622	-2.7830658	-1.5901617	1.7864573	2.0975456	-0.8741175	0.6238413	2.0397506	1.103906	-1.3128445	-0.43726832	1.7680794	-0.3321496	1	1	1	1	1	1	1	1	1	1
-1.1020663	0.008795128	-1.0716985	2.0571365	2.161032	-1.2569206	-1.9749019	0.40043104	-0.3995564	1.9111772	-2.4538996	-1.1335375	-1.2155956	-2.2634113	-1.6526637	-3.288141	-3.224912	-3.2785509	-2.7994502	-1.6065078	1.7864699	2.097593	-0.8741103	0.6238267	2.0397432	1.1038774	-1.312831	-0.4373025	1.768119	-0.33212936	1	1	1	1	1	1	1	1	1	1
-1.1020925	0.008789149	-1.0716704	2.05706	2.161016	-1.2568276	-1.9749496	0.40045124	-0.39951	1.911243	-2.470265	-1.1498468	-1.2318916	-2.2797756	-1.6690174	-3.3045182	-3.2412941	-3.2949471	-2.8158338	-1.6228602	1.7864858	2.097637	-0.8741031	0.6238149	2.0397344	1.1038553	-1.3128175	-0.4373371	1.7681634	-0.3321054	1	1	1	1	1	1	1	1	1	1
-1.1021131	0.008782139	-1.0716454	2.0569859	2.1609974	-1.2567365	-1.9749942	0.40047517	-0.39946467	1.9113098	-2.4866266	-1.1661639	-1.2481996	-2.2961438	-1.6853685	-3.320899	-3.2576752	-3.3113453	-2.8322139	-1.6392133	1.7865058	2.0976768	-0.87409645	0.623803	2.039724	1.1038389	-1.3128022	-0.43737188	1.7682108	-0.33207858	1	1	1	1	1	1	1	1	1	1
-1.1021274	0.0087766955	-1.0716245	2.0569146	2.160977	-1.256648	-1.9750365	0.40050077	-0.3994212	1.9113767	-2.5029862	-1.1824834	-1.2645195	-2.3125157	-1.7017167	-3.3372796	-3.274054	-3.3277419	-2.848589	-1.6555631	1.7865294	2.0977125	-0.8740909	0.62378764	2.039713	1.1038272	-1.3127842	-0.4374066	1.7682586	-0.33204973	1	1	1	1	1	1	1	1	1	1
-1.1021359	0.008774988	-1.0716078	2.0568452	2.1609545	-1.2565628	-1.9750792	0.4005269	-0.39937818	1.9114436	-2.5193465	-1.1988002	-1.2808459	-2.3288891	-1.7180647	-3.3536587	-3.2904303	-3.3441365	-2.864959	-1.6719081	1.7865546	2.0977454	-0.87408733	0.62376636	2.0397024	1.1038194	-1.3127636	-0.4374407	1.7683051	-0.33201894	1	1	1	1	1	1	1	1	1	1
-1.1021397	0.008778288	-1.071594	2.0567765	2.16093	-1.2564816	-1.9751258	0.4005536	-0.39933324	1.9115105	-2.5357103	-1.2151128	-1.2971729	-2.3452613	-1.7344136	-3.3700361	-3.3068056	-3.360532	-2.8813243	-1.6882534	1.7865791	2.0977767	-0.87408674	0.6237379	2.0396953	1.1038145	-1.3127404	-0.43747333	1.7683498	-0.33198616	1	1	1	1	1	1	1	1	1	1
-1.1021392	0.008786621	-1.0715811	2.0567079	2.1609025	-1.2564052	-1.9751793	0.40058166	-0.39928415	1.9115766	-2.5520802	-1.2314249	-1.3134965	-2.3616304	-1.7507619	-3.3864126	-3.3231826	-3.3769305	-2.8976855	-1.7046039	1.7866017	2.0978076	-0.8740907	0.6237019	2.0396936	1.1038114	-1.312715	-0.43750376	1.7683929	-0.33195224	1	1	1	1	1	1	1	1	1	1
-1.1021346	0.008799966	-1.0715678	2.0566382	2.1608713	-1.2563334	-1.9752418	0.40061155	-0.39923003	1.9116403	-2.568453	-1.2477416	-1.3298149	-2.3779962	-1.7671058	-3.4027896	-3.3395603	-3.393329	-2.9140449	-1.7209597	1.7866228	2.097839	-0.8740998	0.6236593	2.0396993	1.103809	-1.3126872	-0.4375315	1.7684344	-0.33191884	1	1	1	1	1	1	1	1	1	1
-1.1021254	0.008819374	-1.0715533	2.056568	2.1608362	-1.2562639	-1.9753134	0.40064353	-0.39917168	1.9116997	-2.5848231	-1.2640629	-1.3461301	-2.3943634	-1.7834425	-3.4191694	-3.355935	-3.4097245	-2.9304054	-1.737316	1.7866436	2.097872	-0.87411374	0.6236113	2.039713	1.103807	-1.3126557	-0.43755627	1.7684727	-0.33188817	1	1	1	1	1	1	1	1	1	1
-1.1021107	0.008844959	-1.0715351	2.056498	2.160798	-1.2561944	-1.975391	0.40067703	-0.39911026	1.9117534	-2.601187	-1.280387	-1.3624475	-2.4107375	-1.7997723	-3.4355536	-3.3723068	-3.4261148	-2.94677	-1.7536676	1.7866644	2.097907	-0.87413263	0.62355834	2.0397341	1.1038057	-1.3126199	-0.43757844	1.7685049	-0.33186227	1	1	1	1	1	1	1	1	1	1
